PassengerId,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked_Q,Embarked_S
48,1,3,"o'driscoll, miss. bridget",1,28,0,0,14311,0.015126992566498259,True,False
49,0,3,"samaan, mr. youssef",0,28,2,0,2662,0.04231498029001666,False,False
50,0,3,"arnold-franchi, mrs. josef (josefine franchi)",1,18,1,0,349237,0.034743286152731485,False,True
51,0,3,"panula, master. juha niilo",0,7,4,1,3101295,0.07746484096553544,False,True
52,0,3,"nosworthy, mr. richard cater",0,21,0,0,A/4. 39886,0.01522458606692728,False,True
53,1,1,"harper, mrs. henry sleeper (myna haxtun)",1,49,1,0,PC 17572,0.1497654242623688,False,False
54,1,2,"faunthorpe, mrs. lizzie (elizabeth anne wilkinson)",1,29,1,0,2926,0.050748620223090936,False,True
56,1,1,"woolner, mr. hugh",0,28,0,0,19947,0.06929138530460492,False,True
57,1,2,"rugg, miss. emily",1,21,0,0,C.A. 31026,0.020494635090094415,False,True
58,0,3,"novel, mr. mansouer",0,28,0,0,2697,0.014110458666029575,False,False
59,1,2,"west, miss. constance mirium",1,5,1,2,C.A. 34651,0.05416439273810667,False,True
60,0,3,"goodwin, master. william frederick",0,11,5,2,CA 2144,0.09154270340242172,False,True
61,0,3,"sirayanian, mr. orsen",0,22,0,0,2669,0.014110458666029575,False,False
62,1,1,"icard, miss. amelie",1,38,0,0,113572,0.15614960068643363,False,True
63,0,1,"harris, mr. henry birkhardt",0,45,1,0,36973,0.16293234896625058,False,True
64,0,3,"skoog, master. harald",0,4,3,2,347088,0.05445717323939373,False,True
65,0,1,"stewart, mr. albert a",0,28,0,0,PC 17605,0.05410739813385612,False,False
66,1,3,"moubarek, master. gerios",0,28,1,1,2661,0.029757819776815374,False,False
67,1,2,"nye, mrs. (elizabeth ramell)",1,29,0,0,C.A. 29395,0.020494635090094415,False,True
68,0,3,"crease, mr. ernest james",0,19,0,0,S.P. 3464,0.015923941091001644,False,True
69,1,3,"andersson, miss. erna alexandra",1,17,4,2,3101281,0.015468569817999833,False,True
70,0,3,"kink, mr. vincenz",0,26,2,0,315151,0.016908073949327893,False,True
71,0,2,"jenkin, mr. stephen curnow",0,32,0,0,C.A. 33111,0.020494635090094415,False,True
72,0,3,"goodwin, miss. lillian amy",1,16,5,2,CA 2144,0.09154270340242172,False,True
73,0,2,"hood, mr. ambrose jr",0,21,0,0,S.O.C. 14879,0.1434624456306609,False,True
74,0,3,"chronopoulos, mr. apostolos",0,26,1,0,2680,0.028212719478023115,False,False
75,1,3,"bing, mr. lee",0,32,0,0,1601,0.11027245763075773,False,True
76,0,3,"moen, mr. sigurd hansen",0,25,0,0,348123,0.014931805565640218,False,True
77,0,3,"staneff, mr. ivan",0,28,0,0,349208,0.015411575213749284,False,True
78,0,3,"moutal, mr. rahamin haim",0,28,0,0,374746,0.015712553569072387,False,True
80,1,3,"dowdell, miss. elizabeth",1,30,0,0,364516,0.024349578357040744,False,True
81,0,3,"waelens, mr. achille",0,22,0,0,345767,0.017566830077223785,False,True
82,1,3,"sheerlinck, mr. jan baptist",0,29,0,0,345779,0.018542765081513996,False,True
83,1,3,"mcdermott, miss. brigdet delia",1,28,0,0,330932,0.015200187691820024,True,False
84,0,1,"carrau, mr. francisco m",0,28,0,0,113059,0.09193307740413781,False,True
85,1,2,"ilett, miss. bertha",1,17,0,0,SO/C 14885,0.020494635090094415,False,True
86,1,3,"backstrom, mrs. karl alfred (maria mathilda gustafsson)",1,33,3,0,3101278,0.030937139635999665,False,True
87,0,3,"ford, mr. william neal",0,16,1,3,W./C. 6608,0.06709553154495196,False,True
88,0,3,"slocovski, mr. selman francis",0,28,0,0,SOTON/OQ 392086,0.015712553569072387,False,True
89,1,1,"fortune, miss. mabel helen",1,23,3,2,19950,0.5133418122566505,False,True
90,0,3,"celotti, mr. francesco",0,24,0,0,343275,0.015712553569072387,False,True
91,0,3,"christmann, mr. emil",0,29,0,0,343276,0.015712553569072387,False,True
92,0,3,"andreasson, mr. paul edvin",0,20,0,0,347466,0.015330377421392339,False,True
93,0,1,"chaffee, mr. herbert fuller",0,46,1,0,W.E.P. 5734,0.11940564777490723,False,True
94,0,3,"dean, mr. bertram frank",0,26,1,2,C.A. 2315,0.04015972542654215,False,True
96,0,3,"shorney, mr. charles joseph",0,28,0,0,374910,0.015712553569072387,False,True
98,1,1,"greenfield, mr. william bertram",0,23,0,1,PC 17759,0.12366716556464086,False,False
99,1,2,"doling, mrs. john t (ada julia bone)",1,34,0,1,231919,0.04489301019734967,False,True
100,0,2,"kantor, mr. sinai",0,34,1,0,244367,0.050748620223090936,False,True
101,0,3,"petranec, miss. matilda",1,28,0,0,349245,0.015411575213749284,False,True
102,0,3,"petroff, mr. pastcho (""pentcho"")",0,28,0,0,349215,0.015411575213749284,False,True
103,0,1,"white, mr. richard frasar",0,21,0,1,35281,0.15085515328815924,False,True
104,0,3,"johansson, mr. gustaf joel",0,33,0,0,7540,0.016891873428256675,False,True
105,0,3,"gustafsson, mr. anders vilhelm",0,37,2,0,3101276,0.015468569817999833,False,True
106,0,3,"mionoff, mr. stoytcho",0,28,0,0,349207,0.015411575213749284,False,True
107,1,3,"salkjelsvik, miss. anna kristine",1,21,0,0,343120,0.014931805565640218,False,True
108,1,3,"moss, mr. albert johan",0,28,0,0,312991,0.015175789316712771,False,True
109,0,3,"rekic, mr. tido",0,38,0,0,349249,0.015411575213749284,False,True
110,1,3,"moran, miss. bertha",1,28,1,0,371110,0.04713766070721715,True,False
111,0,1,"porter, mr. walter chamberlain",0,47,0,0,110465,0.10149724044618187,False,True
112,0,3,"zabour, miss. hileni",1,14,1,0,2665,0.028212719478023115,False,False
113,0,3,"barton, mr. david john",0,22,0,0,324669,0.015712553569072387,False,True
114,0,3,"jussila, miss. katriina",1,20,1,0,4136,0.019177122834302632,False,True
115,0,3,"attalah, miss. malake",1,17,0,0,2627,0.028220722145058292,False,False
116,0,3,"pekoniemi, mr. edvard",0,21,0,0,STON/O 2. 3101294,0.015468569817999833,False,True
118,0,2,"turpin, mr. william john robert",0,29,1,0,11668,0.04098927018018883,False,True
119,0,1,"baxter, mr. quigg edmond",0,24,0,1,PC 17558,0.4831284260198326,False,False
121,0,2,"hickman, mr. stanley george",0,21,2,0,S.O.C. 14879,0.1434624456306609,False,True
122,0,3,"moore, mr. leonard charles",0,28,0,0,A4. 54510,0.015712553569072387,False,True
123,0,2,"nasser, mr. nicholas",0,32,1,0,237736,0.058694292654020104,False,False
124,1,2,"webber, miss. susan",1,32,0,0,27267,0.025374310111545468,False,True
125,0,1,"white, mr. percival wayland",0,54,0,1,35281,0.15085515328815924,False,True
126,1,3,"nicola-yarred, master. elias",0,12,1,0,2651,0.021942337075458514,False,False
127,0,3,"mcmahon, mr. martin",0,28,0,0,370372,0.015126992566498259,True,False
128,1,3,"madsen, mr. fridtjof arne",0,24,0,0,C 17369,0.01393967004027879,False,True
129,1,3,"peter, miss. anna",1,28,1,1,2668,0.04364049521284361,False,False
130,0,3,"ekstrom, mr. johan",0,45,0,0,347061,0.013614293309848433,False,True
131,0,3,"drazenoic, mr. jozef",0,33,0,0,349241,0.015411575213749284,False,False
132,0,3,"coelho, mr. domingos fernandeo",0,20,0,0,SOTON/O.Q. 3101307,0.013760683560491965,False,True
133,0,3,"robins, mrs. alexander a (grace charity laury)",1,47,1,0,A/5. 3337,0.028302115124416098,False,True
134,1,2,"weisz, mrs. leopold (mathilde francoise pede)",1,29,1,0,228414,0.050748620223090936,False,True
135,0,2,"sobey, mr. samuel james hayden",0,25,0,0,C.A. 29178,0.025374310111545468,False,True
136,0,2,"richard, mr. emile",0,23,0,0,SC/PARIS 2133,0.02936744577509929,False,False
137,1,1,"newsom, miss. helen monypeny",1,19,0,2,11752,0.051301584996521765,False,True
138,0,1,"futrelle, mr. jacques heath",0,37,1,0,113803,0.10364429745562033,False,True
139,0,3,"osen, mr. olaf elon",0,16,0,0,7534,0.01798980030808316,False,True
140,0,1,"giglio, mr. victor",0,24,0,0,PC 17593,0.15458810467956932,False,False
141,0,3,"boulos, mrs. joseph (sultana)",1,28,0,2,2678,0.029757819776815374,False,False
142,1,3,"nysten, miss. anna sofia",1,22,0,0,347081,0.015126992566498259,False,True
143,1,3,"hakkarainen, mrs. pekka pietari (elin matilda dolck)",1,24,1,0,STON/O2. 3101279,0.030937139635999665,False,True
144,0,3,"burke, mr. jeremiah",0,19,0,0,365222,0.013175122557917838,True,False
145,0,2,"andrew, mr. edgardo samuel",0,18,0,0,231945,0.022446505098674834,False,True
146,0,2,"nicholls, mr. joseph charles",0,19,1,1,C.A. 33112,0.07173122281533045,False,True
147,1,3,"andersson, mr. august edvard (""wennerstrom"")",0,27,0,0,350043,0.015216388212891242,False,True
148,0,3,"ford, miss. robina maggie ""ruby""",1,9,2,2,W./C. 6608,0.06709553154495196,False,True
149,0,2,"navratil, mr. michel (""louis m hoffman"")",0,36,0,2,230080,0.050748620223090936,False,True
150,0,2,"byles, rev. thomas roussel davids",0,42,0,0,244310,0.025374310111545468,False,True
151,0,2,"bateman, rev. robert james",0,51,0,0,S.O.P. 1166,0.02444717185746977,False,True
152,1,1,"pears, mrs. thomas (edith wearne)",1,22,1,0,113776,0.12999454257145598,False,True
154,0,3,"van billiard, mr. austin blyler",0,40,0,2,A/5. 851,0.028302115124416098,False,True
155,0,3,"olsen, mr. ole martin",0,28,0,0,Fa 265302,0.014273049437744325,False,True
156,0,1,"williams, mr. charles duane",0,51,0,1,PC 17597,0.11980421963065935,False,False
157,1,3,"gilnagh, miss. katherine ""katie""",1,16,0,0,35851,0.015094396337354966,True,False
158,0,3,"corn, mr. harry",0,30,0,0,SOTON/OQ 392090,0.015712553569072387,False,True
159,0,3,"smiljanic, mr. mile",0,28,0,0,315037,0.016908073949327893,False,True
160,0,3,"sage, master. thomas henry",0,28,8,2,CA. 2343,0.13575255909676823,False,True
161,0,3,"cribb, mr. john hatfield",0,44,0,1,371362,0.031425107138144774,False,True
162,1,2,"watt, mrs. james (elizabeth ""bessie"" inglis milne)",1,40,0,0,C.A. 33595,0.030741952635141623,False,True
163,0,3,"bengtsson, mr. john viktor",0,26,0,0,347068,0.015175789316712771,False,True
164,0,3,"calic, mr. jovo",0,17,0,0,315093,0.016908073949327893,False,True
166,1,3,"goldsmith, master. frank john william ""frankie""",0,9,0,2,363291,0.04006213192611313,False,True
167,1,1,"chibnall, mrs. (edith martha bowerman)",1,28,0,1,113505,0.10735285047192313,False,True
168,0,3,"skoog, mrs. william (anna bernhardina karlsson)",1,45,1,4,347088,0.05445717323939373,False,True
169,0,1,"baumann, mr. john d",0,28,0,0,PC 17318,0.050602229972447406,False,True
170,0,3,"ling, mr. lee",0,28,0,0,1601,0.11027245763075773,False,True
172,0,3,"rice, master. arthur",0,4,4,1,382652,0.056848213999904744,True,False
174,0,3,"sivola, mr. antti wilhelm",0,21,0,0,STON/O 2. 3101280,0.015468569817999833,False,True
176,0,3,"klasen, mr. klas albin",0,18,1,1,350404,0.015330377421392339,False,True
177,0,3,"lefebre, master. henry forbes",0,28,3,1,4133,0.04970768794751499,False,True
178,0,1,"isham, miss. ann elizabeth",1,50,0,0,PC 17595,0.05604306762136532,False,False
179,0,2,"hale, mr. reginald",0,30,0,0,250653,0.025374310111545468,False,True
180,0,3,"leonard, mr. lionel",0,36,0,0,LINE,0.0,False,True
181,0,3,"sage, miss. constance gladys",1,28,8,2,CA. 2343,0.13575255909676823,False,True
182,0,2,"pernot, mr. rene",0,28,0,0,SC/PARIS 2131,0.02937564362913533,False,False
183,0,3,"asplund, master. clarence gustaf hugo",0,9,4,2,347077,0.061264319894317944,False,True
185,1,3,"kink-heilmann, miss. luise gretchen",1,4,0,2,315153,0.04298993693898376,False,True
186,0,1,"rood, mr. hugh roscoe",0,28,0,0,113767,0.09759350042902103,False,True
187,1,3,"o'brien, mrs. thomas (johanna ""hannah"" godfrey)",1,28,1,0,370365,0.030253985132996517,True,False
188,1,1,"romaine, mr. charles hallace (""mr c rolmane"")",0,45,0,0,111428,0.051822148727810165,False,True
189,0,3,"bourke, mr. john",0,40,1,1,364849,0.030253985132996517,True,False
190,0,3,"turcin, mr. stjepan",0,36,0,0,349247,0.015411575213749284,False,True
191,1,2,"pinsky, mrs. (rosa)",1,32,0,0,234604,0.025374310111545468,False,True
192,0,2,"carbines, mr. william",0,19,0,0,28424,0.025374310111545468,False,True
193,1,3,"andersen-jensen, miss. carla christine nielsine",1,19,1,0,350046,0.015330377421392339,False,True
194,1,2,"navratil, master. michel m",0,3,1,1,230080,0.050748620223090936,False,True
195,1,1,"brown, mrs. james joseph (margaret tobin)",1,44,0,0,PC 17610,0.05410739813385612,False,False
197,0,3,"mernagh, mr. robert",0,28,0,0,368703,0.015126992566498259,True,False
198,0,3,"olsen, mr. karl siegwart andreas",0,42,0,1,4579,0.01640390592611157,False,True
199,1,3,"madigan, miss. margaret ""maggie""",1,28,0,0,370370,0.015126992566498259,True,False
200,0,2,"yrois, miss. henriette (""mrs harbeck"")",1,24,0,0,248747,0.025374310111545468,False,True
201,0,3,"vande walle, mr. nestor cyriel",0,28,0,0,345770,0.018542765081513996,False,True
202,0,3,"sage, mr. frederick",0,28,8,2,CA. 2343,0.13575255909676823,False,True
203,0,3,"johanson, mr. jakob alfred",0,34,0,0,3101264,0.012678957201736696,False,True
204,0,3,"youseff, mr. gerious",0,45,0,0,2628,0.014102260811993537,False,False
205,1,3,"cohen, mr. gurshon ""gus""",0,18,0,0,A/5 3540,0.015712553569072387,False,True
207,0,3,"backstrom, mr. karl alfred",0,32,1,0,3101278,0.030937139635999665,False,True
208,1,3,"albimona, mr. nassef cassem",0,26,0,0,2699,0.036670757786204655,False,False
209,1,3,"carr, miss. helen ""ellen""",1,16,0,0,367231,0.015126992566498259,True,False
210,1,1,"blank, mr. henry",0,40,0,0,112277,0.060507970265993034,False,False
211,0,3,"ali, mr. ahmed",0,24,0,0,SOTON/O.Q. 3101311,0.013760683560491965,False,True
212,1,2,"cameron, miss. clear annie",1,35,0,0,F.C.C. 13528,0.04098927018018883,False,True
213,0,3,"perkin, mr. john henry",0,22,0,0,A/5 21174,0.014151057562208049,False,True
214,0,2,"givard, mr. hans kristensen",0,30,0,0,250646,0.025374310111545468,False,True
215,0,3,"kiernan, mr. philip",0,28,1,0,367229,0.015126992566498259,True,False
216,1,1,"newell, miss. madeleine",1,31,1,0,35273,0.22109807522194713,False,False
217,1,3,"honkanen, miss. eliina",1,27,0,0,STON/O2. 3101283,0.015468569817999833,False,True
218,0,2,"jacobsohn, mr. sidney samuel",0,42,1,0,243847,0.05270049023167135,False,True
219,1,1,"bazzani, miss. albina",1,32,0,0,11813,0.14891148113361488,False,False
220,0,2,"harris, mr. walter",0,30,0,0,W/C 14208,0.020494635090094415,False,True
221,1,3,"sunderland, mr. victor francis",0,16,0,0,SOTON/OQ 392089,0.015712553569072387,False,True
222,0,2,"bracken, mr. james h",0,27,0,0,220367,0.025374310111545468,False,True
223,0,3,"green, mr. george henry",0,51,0,0,21440,0.015712553569072387,False,True
224,0,3,"nenkoff, mr. christo",0,28,0,0,349234,0.015411575213749284,False,True
225,1,1,"hoyt, mr. frederick maxfield",0,38,1,0,19943,0.17566830077223786,False,True
226,0,3,"berglund, mr. karl ivar sven",0,22,0,0,PP 4348,0.01824998458022693,False,True
227,1,2,"mellors, mr. william john",0,19,0,0,SW/PP 751,0.020494635090094415,False,True
228,0,3,"lovell, mr. john hall (""henry"")",0,20,0,0,A/5 21173,0.014151057562208049,False,True
229,0,2,"fahlstrom, mr. arne jonas",0,18,0,0,236171,0.025374310111545468,False,True
230,0,3,"lefebre, miss. mathilde",1,28,3,1,4133,0.04970768794751499,False,True
231,1,1,"harris, mrs. henry birkhardt (irene wallach)",1,35,1,0,36973,0.16293234896625058,False,True
232,0,3,"larsson, mr. bengt edvin",0,29,0,0,347067,0.015175789316712771,False,True
234,1,3,"asplund, miss. lillian gertrud",1,5,4,2,347077,0.061264319894317944,False,True
235,0,2,"leyson, mr. robert william norman",0,24,0,0,C.A. 29566,0.020494635090094415,False,True
236,0,3,"harknett, miss. alice phoebe",1,28,0,0,W./C. 6609,0.014736618564782174,False,True
237,0,2,"hold, mr. stephen",0,44,1,0,26707,0.050748620223090936,False,True
238,1,2,"collyer, miss. marjorie ""lottie""",1,8,0,2,C.A. 31921,0.05123658772523604,False,True
239,0,2,"pengelly, mr. frederick william",0,19,0,0,28665,0.020494635090094415,False,True
240,0,2,"hunt, mr. george henry",0,33,0,0,SCO/W 1585,0.023959204355324663,False,True
241,0,3,"zabour, miss. thamine",1,28,1,0,2665,0.028212719478023115,False,False
242,1,3,"murphy, miss. katherine ""kate""",1,28,1,0,367230,0.030253985132996517,True,False
243,0,2,"coleridge, mr. reginald charles",0,29,0,0,W./C. 14263,0.020494635090094415,False,True
244,0,3,"maenpaa, mr. matti alexanteri",0,22,0,0,STON/O 2. 3101275,0.013907073811135496,False,True
245,0,3,"attalah, mr. sleiman",0,30,0,0,2694,0.014102260811993537,False,False
246,0,1,"minahan, dr. william edward",0,44,2,0,19928,0.17566830077223786,True,False
247,0,3,"lindahl, miss. agda thorilda viktoria",1,25,0,0,347071,0.015175789316712771,False,True
248,1,2,"hamalainen, mrs. william (anna)",1,24,0,2,250649,0.028302115124416098,False,True
249,1,1,"beckwith, mr. richard leonard",0,37,1,1,11751,0.10257896680493714,False,True
250,0,2,"carter, rev. ernest courtenay",0,54,1,0,244252,0.050748620223090936,False,True
251,0,3,"reed, mr. james george",0,28,0,0,362316,0.014151057562208049,False,True
252,0,3,"strom, mrs. wilhelm (elna matilda persson)",1,29,1,1,347054,0.02042143996477265,False,True
254,0,3,"lobb, mr. william arthur",0,30,1,0,A/5. 3336,0.031425107138144774,False,True
255,0,3,"rosblom, mrs. viktor (helena wilhelmina)",1,41,0,2,370129,0.039452172548431745,False,True
256,1,3,"touma, mrs. darwis (hanne youssef razi)",1,29,0,2,2650,0.029757819776815374,False,False
257,1,1,"thorne, mrs. gertrude maybelle",1,28,0,0,PC 17585,0.15458810467956932,False,False
258,1,1,"cherry, miss. gladys",1,30,0,0,110152,0.16883675574220638,False,True
259,1,1,"ward, miss. anna",1,35,0,0,PC 17755,1.0,False,False
260,1,2,"parrish, mrs. (lutie davis)",1,50,0,1,230433,0.050748620223090936,False,True
261,0,3,"smith, mr. thomas",0,28,0,0,384461,0.015126992566498259,True,False
262,1,3,"asplund, master. edvin rojj felix",0,3,4,2,347077,0.061264319894317944,False,True
263,0,1,"taussig, mr. emil",0,52,1,1,110413,0.1554664461834305,False,True
264,0,1,"harrison, mr. william",0,40,0,0,112059,0.0,False,True
265,0,3,"henry, miss. delia",1,28,0,0,382649,0.015126992566498259,True,False
266,0,2,"reeves, mr. david",0,36,0,0,C.A. 17248,0.020494635090094415,False,True
267,0,3,"panula, mr. ernesti arvid",0,16,4,1,3101295,0.07746484096553544,False,True
268,1,3,"persson, mr. ernst ulrik",0,25,1,0,347083,0.015175789316712771,False,True
270,1,1,"bissette, miss. amelia",1,35,0,0,PC 17760,0.2647385704347907,False,True
271,0,1,"cairns, mr. alexander",0,28,0,0,113798,0.060507970265993034,False,True
272,1,3,"tornquist, mr. william henry",0,25,0,0,LINE,0.0,False,True
273,1,2,"mellinger, mrs. (elizabeth anne maidment)",1,41,0,1,250644,0.0380614651673182,False,True
274,0,1,"natsch, mr. charles h",0,37,0,1,PC 17596,0.057970539254838485,False,False
275,1,3,"healy, miss. hanora ""nora""",1,28,0,0,370375,0.015126992566498259,True,False
277,0,3,"lindblom, miss. augusta charlotta",1,45,0,0,347073,0.015126992566498259,False,True
278,0,2,"parkes, mr. francis ""frank""",0,28,0,0,239853,0.0,False,True
279,0,3,"rice, master. eric",0,7,4,1,382652,0.056848213999904744,True,False
280,1,3,"abbott, mrs. stanton (rosa hunt)",1,35,1,1,C.A. 2673,0.03952536767375352,False,True
282,0,3,"olsson, mr. nils johan goransson",0,28,0,0,347464,0.015330377421392339,False,True
283,0,3,"de pelsmaeker, mr. alfons",0,16,0,0,345778,0.018542765081513996,False,True
284,1,3,"dorking, mr. edward arthur",0,19,0,0,A/5. 10482,0.015712553569072387,False,True
285,0,1,"smith, mr. richard william",0,28,0,0,113056,0.050748620223090936,False,True
286,0,3,"stankovic, mr. ivan",0,33,0,0,349239,0.016908073949327893,False,False
287,1,3,"de mulder, mr. theodore",0,30,0,0,345774,0.018542765081513996,False,True
288,0,3,"naidenoff, mr. penko",0,22,0,0,349206,0.015411575213749284,False,True
289,1,2,"hosono, mr. masabumi",0,42,0,0,237798,0.025374310111545468,False,True
290,1,3,"connolly, miss. kate",1,22,0,0,370373,0.015126992566498259,True,False
291,1,1,"barber, miss. ellen ""nellie""",1,26,0,0,19877,0.15390495017656614,False,True
292,1,1,"bishop, mrs. dickinson h (helen walton)",1,19,1,0,11967,0.17777475888549785,False,False
293,0,2,"levy, mr. rene jacques",0,36,0,0,SC/Paris 2163,0.025130326360472913,False,False
294,0,3,"haas, miss. aloisia",1,24,0,0,349236,0.01727404957593672,False,True
295,0,3,"mineff, mr. ivan",0,24,0,0,349233,0.015411575213749284,False,True
296,0,1,"lewy, mr. ervin g",0,28,0,0,PC 17612,0.05410739813385612,False,False
297,0,3,"hanna, mr. mansour",0,23,0,0,2693,0.014110458666029575,False,False
299,1,1,"saalfeld, mr. adolphe",0,28,0,0,19988,0.05953203526170282,False,True
300,1,1,"baxter, mrs. james (helene delaudeniere chaput)",1,50,0,1,PC 17558,0.4831284260198326,False,False
301,1,3,"kelly, miss. anna katherine ""annie kate""",1,28,0,0,9234,0.015126992566498259,True,False
302,1,3,"mccoy, mr. bernard",0,28,2,0,367226,0.04538097769949478,True,False
303,0,3,"johnson, mr. william cahoone jr",0,19,0,0,LINE,0.0,False,True
304,1,2,"keane, miss. nora a",1,28,0,0,226593,0.024105594605968193,True,False
305,0,3,"williams, mr. howard hugh ""harry""",0,28,0,0,A/5 2466,0.015712553569072387,False,True
307,1,1,"fleming, miss. margaret",1,28,0,0,17421,0.21642978772242535,False,False
308,1,1,"penasco y castellana, mrs. victor de satode (maria josefa perez de soto y vallejo)",1,17,1,0,PC 17758,0.2125586439344078,False,False
309,0,2,"abelson, mr. samuel",0,30,1,0,P/PP 3381,0.04684488020593009,False,False
310,1,1,"francatelli, miss. laura mabel",1,30,0,0,PC 17485,0.11111839809247648,False,False
311,1,1,"hays, miss. margaret bechstein",1,24,0,0,11767,0.16231419173453318,False,False
312,1,1,"ryerson, miss. emily borie",1,18,2,2,PC 17608,0.5121218935012878,False,False
313,0,2,"lahtinen, mrs. william (anna sylfven)",1,26,1,1,250651,0.050748620223090936,False,True
314,0,3,"hendekovic, mr. ignjac",0,28,0,0,349243,0.015411575213749284,False,True
315,0,2,"hart, mr. benjamin",0,43,1,1,F.C.C. 13529,0.05123658772523604,False,True
316,1,3,"nilsson, miss. helmina josefina",1,26,0,0,347470,0.015330377421392339,False,True
317,1,2,"kantor, mrs. sinai (miriam sternin)",1,24,1,0,244367,0.050748620223090936,False,True
318,0,2,"moraweck, dr. ernest",0,54,0,0,29011,0.027326180120125887,False,True
319,1,1,"wick, miss. mary natalie",1,31,0,2,36928,0.32179836714362564,False,True
320,1,1,"spedden, mrs. frederic oakley (margaretta corning stone)",1,40,1,1,16966,0.2625265161540666,False,False
321,0,3,"dennis, mr. samuel",0,22,0,0,A/5 21172,0.014151057562208049,False,True
322,0,3,"danoff, mr. yoto",0,27,0,0,349219,0.015411575213749284,False,True
323,1,2,"slayter, miss. hilda mary",1,30,0,0,234818,0.024105594605968193,True,False
